ticker,kind,level_low,level_high,timeframe,note
360ONE.NS,support,686.1,916.7,daily,support going up
360ONE.NS,resistance,1198.5,1315.2,daily,"Resistace goung up, with stocks"
3MINDIA.NS,resistance,30780.45,40127.2,Monthly,Channel- Stock going between support and Resistance
3MINDIA.NS,support,16705,28471.45,monthly,Channel- Stock going between support and Resistance
AADHARHFC.NS,resistance,508.9,526.45,Daily,"Resistace goung up, with stocks"
AADHARHFC.NS,support,428.5,483.45,Daily,"Support is also going up, with stocks"
AARTIIND.NS,support,464.9,353.65,Monthly,support going down
AARTIIND.NS,resistance,764.35,353.65,Daily,3x bounce on daily
ABB.NS,resistance,9256.5,7825.75,Weekly,Resistance going downwards
ABBOTINDIA.NS,resistance,18502.3,35933.55,Monthly,"Resistance going up, but stock is in red"
ABCAPITAL.NS,resistance,159.95,368.1,Monthly,"Resistance going up, with stocks"
ACC.NS,support,361.8,1251.95,Monthly,"Support going up, latest close at red"
ACE.NS,support,736.7,1185.55,weekly,support going up
ACE.NS,support,736.7,1185.55,daily,Bollinger band -upward movement
ACMESOLAR.NS,resistance,234.89,363.6,weekly,"Resistace goung up, with stocks"
ACUTAAS.NS,resistance,2063.95,3420.55,daily,"Resistace goung up, with stocks"
ADANIENSOL.NS,support,620.45,642.7,Monthly,Horizontal Support
ADANIENT.NS,resistance,4031.35,3061.55,Monthly,Resistance going downwards
ADANIGREEN.NS,resistance,2149.8,1527.5,weekly,Resistance going downwards
ADANIGREEN.NS,support,824.15,767.55,weekly,support just a bit horizontal
ADANIPORTS.NS,support,570.35,1898.95,Monthly,"support going up, with the stocks"
AEGISLOG.NS,support,274.25,590.35,monthly,"support going up, with the stocks"
AEGISVOPAK.NS,resistance,238.61,245.9,daily,Last candel code is at 238.35
AFCONS.NS,resistance,347,363.5,daily,"It's small resiatance setup, but let's see"
AFCONS.NS,support,264.5,422.6,daily,"Support at this level, but not so sure if it handles or not"
AFFLE.NS,resistance,1701.15,2188.35,Daily,It's a Resiatance Zone
AIAENG.NS,support,1487.5,3233.85,Daily,3x bounce on daily
AJANTPHARM.NS,resistance,3006.25,3303.45,daily,Price bounce off from here 2 times
ALKEM.NS,Support,4412.4,5199.5,daily,Price bounce of 5 times in support
ALKEM.NS,resistance,5761.75,6450.5,Daily,price bounce of 4 times in resitance
AMBER.NS,support,8139.95,8913.5,daily,Price bounce of 3 times in support
AMBER.NS,resistance,6112.85,7153.1,daily,price bounce of 4 times in resitance
AMBUJACEM.NS,support,135.4,404.8,daily,3x bounce on daily
ANANTRAJ.NS,resistance,596.5,910.5,weekly,3x bounce on weekly chart
ANTHEM.NS,resistance,816.95,870.15,daily,"Fresh in NSE, 3x bounce on daily"
APOLLOTYRE.NS,resistance,531.9,582.8,daily,5x bounce back
RELLIANCE.NS,support,1254.9,1328.25,daily,3x bounce on daily
TCS.NS,support,2074.4,2349.7,daily,3x bounce on daily
INFY.NS,support,1088.8,1271.85,daily,3x bounce on daily
RELIANCE.NS,support,1300,1325,daily,BB lower area + consolidation base; multiple daily touches Oct24-Jun26
RELIANCE.NS,support,1270,1300,weekly,2024 consolidation zone before breakout; price returning to base
RELIANCE.NS,resistance,1450,1465,Weekly,Failed breakout Nov-Dec 2025; dashed line visible at 1453
TCS.NS,support,2050,2130,daily,Structural floor from 2023 lows; current consolidation base; BB lower at 2061
TCS.NS,support,2050,2100,Weekly,Multi-year horizontal support visible on weekly going back to 2021-22
TCS.NS,resistance,2800,2900,Weekly,Lower bound of descending weekly channel; first ceiling on any recovery
INFY.NS,support,1040,1065,daily,BB lower band area; descending channel floor; structural base
INFY.NS,support,1050,1080,Weekly,2023 consolidation base before 2024 rally; strong weekly floor
INFY.NS,resistance,1950,2050,daily,Major ceiling; multiple rejections 2022-2024 visible on both daily and weekly
HDFCBANK.NS,support,724,730,daily,swing low cluster Jun 2026 / lower BB
HDFCBANK.NS,resistance,960,980,daily,swing high mid 2024 multiple rejections
HDFCBANK.NS,resistance,880,900,daily,intermediate resistance 2023-2025 multiple touches
HDFCBANK.NS,support,760,780,Weekly,current consolidation zone multiple weekly touches
HDFCBANK.NS,support,600,620,Weekly,major swing low COVID 2020 lows
HDFCBANK.NS,resistance,1000,1020,Weekly,prior ATH zone 2024 peak
HDFCBANK.NS,support,550,580,Monthly,long-term base 2018-2019 major support
HDFCBANK.NS,resistance,1050,1080,Monthly,ATH resistance 2024-2025 highs
ICICIBANK.NS,support,1200,1220,daily,swing low Jun 2026 bounce zone
ICICIBANK.NS,support,1280,1300,daily,intermediate support mid 2025 consolidation base
ICICIBANK.NS,resistance,1450,1480,daily,swing high 2024-2025 multiple daily rejections
ICICIBANK.NS,support,850,880,Weekly,major swing low COVID 2020 historical support
ICICIBANK.NS,resistance,1400,1420,Weekly,recent swing high weekly rejection zone
ICICIBANK.NS,support,780,820,Monthly,long-term base 2019-2020 major support
ICICIBANK.NS,resistance,1480,1500,Monthly,ATH resistance 2024-2025 monthly highs
KOTAKBANK.NS,support,370,380,daily,swing low cluster mid-2024 and Jun 2026 lows
KOTAKBANK.NS,support,310,325,daily,deep swing low Jul 2024 strong bounce
KOTAKBANK.NS,resistance,440,460,daily,swing highs 2024-2025 multiple rejections
KOTAKBANK.NS,support,300,320,Weekly,major swing low COVID 2020 historical floor
KOTAKBANK.NS,resistance,430,445,Weekly,2021-2026 range highs repeatedly rejected
KOTAKBANK.NS,support,340,360,Monthly,2022-2023 base mutiple monthly touches
KOTAKBANK.NS,resistance,450,460,Monthly,ATH zone 2024-2025 monthly highs
AXISBANK.NS,support,1050,1080,daily,multiple dauly lows 2024-2025 string bounce zone
AXISBANK.NS,support,1230,1250,daily,recent Jun 2026 swing lows lower BB
AXISBANK.NS,resistance,1390,1410,daily,current swing high upper BB multiple rejections
AXISBANK.NS,support,390,4120,Weekly,major swing low COVID 2020 lows
AXISBANK.NS,support,800,840,Weekly,2022 consolidation base weekly bounce zone
AXISBANK.NS,resistance,1400,1430,weekly,current ATH zone weekly rejection
AXISBANK.NS,support,350,400,monthly,COVID 2020 low monthly floor
AXISBANK.NS,support,950,1000,monthly,2022 base multiple monthly touches
AXISBANK.NS,resistance,1420,1425,monthly,ATH resistance 2025 monthly highs
SBIN.NS,support,943,960,daily,Jun 2026 swing lows lower BB strong bounce
